,classifier,tr_precision1,tr_recall1,tr_f1 1,classifier,tr_precision2,tr_recall2,tr_f1 2,classifier,tr_precision3,tr_recall3,tr_f1 3,classifier,tr_precision4,tr_recall4,tr_f1 4,classifier,tr_precision5,tr_recall5,tr_f1 5,classifier,tr_precision6,tr_recall6,tr_f1 6
0,LogR,0.974,0.963,0.968,LogR,0.97,0.957,0.963,LogR,0.975,0.964,0.97,LogR,0.973,0.96,0.966,LogR,0.974,0.959,0.966,LogR,0.971,0.959,0.964
1,gNB,0.878,0.616,0.622,gNB,0.881,0.638,0.653,gNB,0.878,0.622,0.63,gNB,0.882,0.644,0.661,gNB,0.885,0.669,0.693,gNB,0.871,0.618,0.625
2,SVM,0.978,0.977,0.978,SVM,0.976,0.972,0.974,SVM,0.98,0.978,0.979,SVM,0.977,0.973,0.975,SVM,0.978,0.976,0.977,SVM,0.978,0.979,0.979
3,DT,0.998,0.997,0.998,DT,0.997,0.994,0.996,DT,0.997,0.996,0.997,DT,0.997,0.995,0.996,DT,0.998,0.995,0.996,DT,0.997,0.995,0.996
4,RF,0.993,0.986,0.99,RF,0.993,0.989,0.991,RF,0.994,0.989,0.991,RF,0.993,0.99,0.992,RF,0.995,0.99,0.992,RF,0.994,0.989,0.991
5,KNN,0.965,0.928,0.945,KNN,0.96,0.921,0.938,KNN,0.964,0.925,0.942,KNN,0.965,0.928,0.944,KNN,0.962,0.92,0.938,KNN,0.961,0.924,0.94
6,LDA,0.992,0.987,0.99,LDA,0.99,0.982,0.986,LDA,0.991,0.986,0.989,LDA,0.991,0.984,0.987,LDA,0.991,0.985,0.988,LDA,0.992,0.986,0.989
7,mNB,0.915,0.941,0.927,mNB,0.913,0.937,0.923,mNB,0.915,0.942,0.926,mNB,0.911,0.937,0.922,mNB,0.913,0.938,0.924,mNB,0.91,0.937,0.922
8,ABC,0.97,0.962,0.966,ABC,0.968,0.955,0.961,ABC,0.975,0.962,0.968,ABC,0.971,0.958,0.964,ABC,0.968,0.957,0.962,ABC,0.968,0.96,0.964
9,GBC,0.976,0.966,0.971,GBC,0.976,0.963,0.969,GBC,0.978,0.967,0.972,GBC,0.975,0.967,0.971,GBC,0.976,0.964,0.97,GBC,0.972,0.963,0.968
10,ETC,0.998,0.997,0.998,ETC,0.997,0.994,0.996,ETC,0.997,0.996,0.997,ETC,0.997,0.995,0.996,ETC,0.998,0.995,0.996,ETC,0.997,0.995,0.996
11,BC,0.994,0.988,0.991,BC,0.993,0.989,0.991,BC,0.994,0.989,0.992,BC,0.993,0.988,0.991,BC,0.991,0.987,0.989,BC,0.992,0.989,0.991
