,classifier,ten_f_CV1,classifier,ten_f_CV2,classifier,ten_f_CV3,classifier,ten_f_CV4,classifier,ten_f_CV5,classifier,ten_f_CV6
0,LogR,0.97,LogR,0.967,LogR,0.97,LogR,0.969,LogR,0.968,LogR,0.968
1,gNB,0.772,gNB,0.777,gNB,0.774,gNB,0.782,gNB,0.798,gNB,0.773
2,SVM,0.974,SVM,0.972,SVM,0.975,SVM,0.972,SVM,0.974,SVM,0.975
3,DT,0.967,DT,0.962,DT,0.965,DT,0.965,DT,0.962,DT,0.962
4,RF,0.961,RF,0.96,RF,0.964,RF,0.965,RF,0.956,RF,0.957
5,KNN,0.942,KNN,0.938,KNN,0.941,KNN,0.939,KNN,0.935,KNN,0.937
6,LDA,0.97,LDA,0.97,LDA,0.973,LDA,0.97,LDA,0.971,LDA,0.97
7,mNB,0.934,mNB,0.932,mNB,0.934,mNB,0.932,mNB,0.932,mNB,0.931
8,ABC,0.962,ABC,0.958,ABC,0.966,ABC,0.962,ABC,0.961,ABC,0.962
9,GBC,0.968,GBC,0.965,GBC,0.968,GBC,0.967,GBC,0.966,GBC,0.965
10,ETC,0.967,ETC,0.966,ETC,0.968,ETC,0.967,ETC,0.965,ETC,0.965
11,BC,0.969,BC,0.965,BC,0.969,BC,0.969,BC,0.964,BC,0.967
