
MTB rifampicin All set Results

rifampicin
0    3069
1    1232
dtype: int64

matrix_size: (4301, 212)

,classifier,tr_precision_avg,tr_recall_avg,tr_f1_avg,te_precision_avg,te_recall_avg,te_f1_avg,Tf_CV_Avg,au_ROC_avg,au_PR_avg
0,LogR,0.973,0.96,0.966,0.968,0.953,0.96,0.969,0.987,0.979
1,gNB,0.879,0.634,0.647,0.852,0.613,0.618,0.779,0.967,0.934
2,SVM,0.978,0.976,0.977,0.972,0.965,0.968,0.974,0.994,0.978
3,DT,0.997,0.995,0.997,0.962,0.95,0.956,0.964,0.953,0.948
4,RF,0.994,0.989,0.991,0.962,0.944,0.952,0.96,0.978,0.972
5,KNN,0.963,0.924,0.941,0.954,0.906,0.926,0.939,0.958,0.959
6,LDA,0.991,0.985,0.988,0.971,0.956,0.963,0.971,0.986,0.975
7,mNB,0.913,0.939,0.924,0.909,0.933,0.92,0.933,0.98,0.958
8,ABC,0.97,0.959,0.964,0.962,0.947,0.954,0.962,0.982,0.971
9,GBC,0.975,0.965,0.97,0.966,0.953,0.959,0.966,0.982,0.974
10,ETC,0.997,0.995,0.997,0.964,0.953,0.958,0.966,0.978,0.972
11,BC,0.993,0.988,0.991,0.967,0.956,0.961,0.967,0.974,0.97

Predicted Labels All Set
,Isolate,prediction by LogR,prediction by gNB,prediction by SVM,prediction by DT,prediction by RF,prediction by KNN,prediction by LDA,prediction by mNB,prediction by ABC,prediction by GBC,prediction by ETC,prediction by BC
0,SAMEA1018845,0,0,0,0,0,0,0,0,0,0,0,0
1,SAMEA1018848,1,0,1,1,1,0,1,1,0,1,1,1
2,SAMEA1018878,0,0,0,0,0,0,0,0,0,0,0,0
3,SAMEA1018881,0,0,0,0,0,0,0,0,0,0,0,0
4,SAMEA1018948,0,0,0,0,0,0,0,0,0,0,0,0
5,SAMEA1018950,0,0,0,0,0,0,0,0,0,0,0,0
6,SAMEA1018969,0,0,0,0,0,0,0,0,0,0,0,0
7,SAMEA1018989,0,0,0,0,0,0,0,0,0,0,0,0
8,SAMEA1018990,0,0,0,0,0,0,0,0,0,0,0,0
9,SAMEA1018991,0,0,0,0,0,0,0,0,0,0,0,0
10,SAMEA1018994,0,0,0,0,0,0,0,0,0,0,0,0
11,SAMEA1019001,0,0,0,0,0,0,0,0,0,0,0,0
12,SAMEA1019034,0,0,0,0,0,0,0,0,0,0,0,0
13,SAMEA1019064,0,0,0,0,0,0,0,0,0,0,0,0
14,SAMEA1019066,0,0,0,0,0,0,0,0,0,0,0,0
15,SAMEA1019143,0,0,0,0,0,0,0,0,0,0,0,0
16,SAMEA1019145,0,0,0,0,0,0,0,0,0,0,0,0
17,SAMEA1019146,0,0,0,0,0,0,0,0,0,0,0,0
18,SAMEA1019192,1,0,1,1,1,0,1,1,0,1,1,1
19,SAMEA1019196,0,0,0,0,0,0,0,0,0,0,0,0
20,SAMEA1019197,0,0,0,0,0,0,0,0,0,0,0,0
21,SAMEA1019215,0,0,0,0,0,0,0,0,0,0,0,0
22,SAMEA1019224,0,0,0,0,0,0,0,0,0,0,0,0
23,SAMEA1019259,0,0,0,0,0,0,0,0,0,0,0,0
24,SAMEA1019308,0,0,0,0,0,0,0,0,0,0,0,0
25,SAMEA1019318,0,0,0,0,0,0,0,0,0,0,0,0
26,SAMEA2296967,0,0,0,0,0,0,0,0,0,0,0,0
27,SAMEA2297026,0,0,0,0,0,0,0,0,0,0,0,0
28,SAMEA2297043,0,0,0,0,0,0,0,0,0,0,0,0
29,SAMEA2297044,0,0,0,0,0,0,0,0,0,0,0,0
30,SAMEA2297060,0,0,0,0,0,0,0,0,0,0,0,0
31,SAMEA2297082,0,0,0,0,0,0,0,0,0,0,0,0
32,SAMEA2297098,0,0,0,0,0,0,0,0,0,0,0,0
33,SAMEA2297112,0,0,0,0,0,0,0,0,0,0,0,0
34,SAMEA2297121,0,0,0,0,0,0,0,0,0,0,0,0
35,SAMEA2297155,0,0,0,0,1,0,0,1,0,0,0,0
36,SAMEA2297157,0,0,0,0,0,0,0,0,0,0,0,0
37,SAMEA2297172,0,0,0,0,0,0,0,0,0,0,0,0
38,SAMEA2297182,0,0,0,0,0,0,0,0,0,0,0,0
39,SAMEA2517445,0,1,0,0,0,0,0,0,0,0,0,0
40,SAMEA2533362,0,0,0,0,0,0,0,0,0,0,0,0
41,SAMEA2533365,0,0,0,0,0,0,0,0,0,0,0,0
42,SAMEA2533374,0,0,0,0,0,0,0,0,0,0,0,0
43,SAMEA2533397,0,0,0,0,0,0,0,0,0,0,0,0
44,SAMEA2533409,1,0,1,1,1,1,1,1,1,1,1,1
45,SAMEA2533417,0,0,0,0,0,0,0,0,0,0,0,0
46,SAMEA2533438,0,0,0,0,0,0,0,0,0,0,0,0
47,SAMEA2533451,0,0,0,0,0,0,0,0,0,0,0,0
48,SAMEA2533457,0,0,0,0,0,0,0,0,0,0,0,0
49,SAMEA2533469,0,0,0,0,0,0,0,0,0,0,0,0
50,SAMEA2533471,0,0,0,0,0,0,0,0,0,0,0,0
51,SAMEA2533484,1,1,1,1,1,1,1,1,1,1,1,1
52,SAMEA2533522,0,0,0,0,0,0,0,0,0,0,0,0
53,SAMEA2533579,0,0,0,0,0,0,0,0,0,0,0,0
54,SAMEA2533581,0,0,0,0,0,0,0,0,0,0,0,0
55,SAMEA2533629,0,0,0,0,0,0,0,0,0,0,0,0
56,SAMEA2533633,0,0,0,0,0,0,0,0,0,0,0,0
57,SAMEA2533662,0,0,0,0,0,0,0,0,0,0,0,0
58,SAMEA2533710,0,0,0,0,0,0,0,0,0,0,0,0
59,SAMEA2533778,0,0,0,0,0,0,0,0,0,0,0,0
60,SAMEA2533793,0,0,0,0,0,0,0,1,0,0,0,0
61,SAMEA2533806,1,0,1,1,1,1,1,1,1,1,1,1
62,SAMEA2533843,1,0,1,1,0,1,1,1,1,1,1,1
63,SAMEA2533858,0,0,0,0,0,0,0,0,0,0,0,0
64,SAMEA2533883,0,0,0,0,0,0,0,0,0,0,0,0
65,SAMEA2533924,0,0,0,0,0,0,0,0,0,0,0,0
66,SAMEA2533966,0,0,0,0,0,0,0,0,0,0,0,0
67,SAMEA2533975,0,0,0,0,0,0,0,0,0,0,0,0
68,SAMEA2533979,0,0,0,0,0,0,0,0,0,0,0,0
69,SAMEA2533999,0,0,0,0,0,0,0,0,0,0,0,0
70,SAMEA2534001,0,0,0,0,0,0,0,0,0,0,0,0
71,SAMEA2534047,0,0,0,0,0,0,0,0,0,0,0,0
72,SAMEA2534052,1,0,1,1,1,0,1,1,1,1,1,1
73,SAMEA2534056,1,0,1,1,1,1,1,1,1,1,1,1
74,SAMEA2534089,0,1,0,1,0,0,0,0,0,0,0,0
75,SAMEA2534123,0,0,0,0,0,0,0,0,0,0,0,0
76,SAMEA2534142,0,0,0,0,0,0,0,0,0,0,0,0
77,SAMEA2534153,0,0,0,0,0,0,0,0,0,0,0,0
78,SAMEA2534198,0,0,0,0,0,0,0,0,0,0,0,0
79,SAMEA2534207,1,0,1,1,1,1,1,1,1,1,1,1
80,SAMEA2534209,0,0,0,0,0,0,0,0,0,0,0,0
81,SAMEA2534213,0,0,0,0,0,0,0,0,0,0,0,0
82,SAMEA2534220,1,0,1,1,1,1,1,1,1,1,1,1
83,SAMEA2534230,0,0,0,0,0,0,0,0,0,0,0,0
84,SAMEA2534244,0,0,0,0,0,0,0,0,0,0,0,0
85,SAMEA2534245,0,0,0,0,0,0,0,0,0,0,0,0
86,SAMEA2534329,0,0,0,0,0,0,0,0,0,0,0,0
87,SAMEA2534334,0,0,0,0,0,0,0,0,0,0,0,0
88,SAMEA2534411,1,0,1,1,1,1,1,1,1,1,1,1
89,SAMEA2534441,1,0,1,1,1,1,1,1,1,1,1,1
90,SAMEA2534467,0,0,0,0,0,0,0,0,0,0,0,0
91,SAMEA2534489,1,0,1,1,1,1,1,1,1,1,1,1
92,SAMEA2534518,1,0,1,1,1,1,1,1,1,1,1,1
93,SAMEA2534527,0,0,0,0,0,0,0,0,0,0,0,0
94,SAMEA2534547,0,0,0,0,0,0,0,0,0,0,0,0
95,SAMEA2534605,1,0,1,1,1,1,1,1,1,1,1,1
96,SAMEA2534608,0,0,0,0,0,0,0,0,0,0,0,0
