,classifier,ten_f_CV1,classifier,ten_f_CV2,classifier,ten_f_CV3,classifier,ten_f_CV4,classifier,ten_f_CV5,classifier,ten_f_CV6
0,LogR,0.959,LogR,0.956,LogR,0.961,LogR,0.957,LogR,0.96,LogR,0.958
1,gNB,0.951,gNB,0.948,gNB,0.953,gNB,0.949,gNB,0.95,gNB,0.949
2,SVM,0.963,SVM,0.961,SVM,0.963,SVM,0.96,SVM,0.959,SVM,0.96
3,DT,0.958,DT,0.958,DT,0.96,DT,0.957,DT,0.955,DT,0.955
4,RF,0.961,RF,0.958,RF,0.96,RF,0.961,RF,0.955,RF,0.958
5,KNN,0.947,KNN,0.943,KNN,0.945,KNN,0.942,KNN,0.945,KNN,0.945
6,LDA,0.952,LDA,0.947,LDA,0.95,LDA,0.95,LDA,0.948,LDA,0.946
7,mNB,0.949,mNB,0.945,mNB,0.95,mNB,0.945,mNB,0.949,mNB,0.947
8,ABC,0.959,ABC,0.955,ABC,0.963,ABC,0.957,ABC,0.955,ABC,0.955
9,GBC,0.965,GBC,0.961,GBC,0.961,GBC,0.961,GBC,0.96,GBC,0.959
10,ETC,0.961,ETC,0.96,ETC,0.961,ETC,0.957,ETC,0.958,ETC,0.957
11,BC,0.961,BC,0.958,BC,0.961,BC,0.958,BC,0.956,BC,0.958
