,classifier,tr_precision_avg,tr_recall_avg,tr_f1_avg,te_precision_avg,te_recall_avg,te_f1_avg,Tf_CV_Avg,au_ROC_avg,au_PR_avg,Loo_CV
0,LogR,0.96,0.941,0.95,0.959,0.939,0.948,0.958,0.979,0.968,0.958
1,gNB,0.938,0.94,0.939,0.938,0.94,0.939,0.95,0.973,0.955,0.949
2,SVM,0.964,0.955,0.959,0.957,0.949,0.953,0.961,0.971,0.963,0.963
3,DT,0.973,0.959,0.966,0.955,0.939,0.946,0.957,0.948,0.939,0.957
4,RF,0.971,0.959,0.965,0.956,0.944,0.95,0.959,0.97,0.958,0.962
5,KNN,0.955,0.936,0.945,0.948,0.921,0.933,0.945,0.958,0.955,0.946
6,LDA,0.959,0.918,0.936,0.959,0.916,0.934,0.949,0.979,0.968,0.948
7,mNB,0.941,0.93,0.936,0.942,0.93,0.936,0.947,0.951,0.94,0.947
8,ABC,0.96,0.939,0.948,0.96,0.939,0.949,0.957,0.978,0.968,0.957
9,GBC,0.964,0.953,0.959,0.96,0.949,0.954,0.961,0.98,0.971,0.963
10,ETC,0.973,0.959,0.966,0.957,0.942,0.949,0.959,0.96,0.95,0.96
11,BC,0.969,0.96,0.965,0.955,0.945,0.949,0.959,0.968,0.958,0.959
