,classifier,tr_precision_avg,tr_recall_avg,tr_f1_avg,te_precision_avg,te_recall_avg,te_f1_avg,Tf_CV_Avg,Loo_CV_Avg,au_ROC_avg,au_PR_avg
0,LogR,0.812,0.658,0.605,0.793,0.61,0.603,0.765,0.759,0.656,0.644
1,gNB,0.829,0.564,0.541,0.798,0.566,0.535,0.747,0.739,0.655,0.636
2,SVM,0.817,0.663,0.61,0.809,0.614,0.609,0.767,0.762,0.628,0.622
3,DT,0.817,0.663,0.61,0.791,0.611,0.605,0.766,0.76,0.656,0.645
4,RF,0.816,0.663,0.61,0.79,0.612,0.605,0.766,0.76,0.656,0.645
5,KNN,0.794,0.63,0.573,0.768,0.6,0.571,0.718,0.722,0.625,0.639
6,LDA,0.814,0.661,0.61,0.79,0.612,0.605,0.765,0.76,0.655,0.641
7,mNB,0.724,0.658,0.523,0.685,0.562,0.522,0.742,0.739,0.614,0.616
8,ABC,0.814,0.662,0.61,0.79,0.612,0.605,0.765,0.76,0.656,0.643
9,GBC,0.817,0.663,0.61,0.79,0.611,0.604,0.766,0.76,0.656,0.645
10,ETC,0.817,0.663,0.61,0.79,0.612,0.605,0.766,0.76,0.656,0.644
11,BC,0.816,0.663,0.61,0.79,0.612,0.605,0.766,0.76,0.656,0.646
