,classifier,tr_precision1,tr_recall1,tr_f1 1,classifier,tr_precision2,tr_recall2,tr_f1 2,classifier,tr_precision3,tr_recall3,tr_f1 3,classifier,tr_precision4,tr_recall4,tr_f1 4,classifier,tr_precision5,tr_recall5,tr_f1 5,classifier,tr_precision6,tr_recall6,tr_f1 6
0,LogR,0.76,0.652,0.669,LogR,0.767,0.66,0.678,LogR,0.765,0.656,0.675,LogR,0.768,0.657,0.675,LogR,0.773,0.663,0.682,LogR,0.764,0.658,0.676
1,gNB,0.796,0.564,0.543,gNB,0.792,0.561,0.538,gNB,0.801,0.565,0.544,gNB,0.797,0.565,0.544,gNB,0.805,0.566,0.546,gNB,0.797,0.566,0.545
2,SVM,0.766,0.656,0.674,SVM,0.774,0.664,0.684,SVM,0.773,0.662,0.681,SVM,0.777,0.664,0.683,SVM,0.781,0.669,0.69,SVM,0.772,0.664,0.684
3,DT,0.766,0.656,0.674,DT,0.774,0.664,0.684,DT,0.773,0.662,0.681,DT,0.778,0.663,0.683,DT,0.781,0.669,0.69,DT,0.772,0.664,0.684
4,RF,0.766,0.656,0.674,RF,0.774,0.664,0.684,RF,0.773,0.662,0.681,RF,0.777,0.664,0.683,RF,0.781,0.669,0.69,RF,0.772,0.664,0.684
5,KNN,0.763,0.654,0.671,KNN,0.627,0.583,0.412,KNN,0.77,0.658,0.677,KNN,0.774,0.661,0.68,KNN,0.827,0.564,0.541,KNN,0.769,0.661,0.68
6,LDA,0.762,0.655,0.672,LDA,0.769,0.663,0.682,LDA,0.769,0.661,0.68,LDA,0.771,0.661,0.68,LDA,0.776,0.666,0.686,LDA,0.767,0.661,0.68
7,mNB,0.762,0.654,0.672,mNB,0.767,0.658,0.677,mNB,0.767,0.658,0.676,mNB,0.768,0.656,0.674,mNB,0.774,0.661,0.68,mNB,0.767,0.661,0.68
8,ABC,0.762,0.655,0.673,ABC,0.769,0.663,0.682,ABC,0.769,0.661,0.68,ABC,0.771,0.661,0.68,ABC,0.776,0.667,0.687,ABC,0.767,0.662,0.681
9,GBC,0.764,0.657,0.675,GBC,0.774,0.663,0.683,GBC,0.773,0.66,0.679,GBC,0.777,0.664,0.683,GBC,0.781,0.669,0.69,GBC,0.772,0.664,0.684
10,ETC,0.766,0.656,0.674,ETC,0.774,0.664,0.684,ETC,0.773,0.662,0.681,ETC,0.778,0.663,0.683,ETC,0.781,0.669,0.69,ETC,0.772,0.664,0.684
11,BC,0.766,0.656,0.674,BC,0.773,0.663,0.683,BC,0.773,0.662,0.681,BC,0.777,0.664,0.683,BC,0.781,0.669,0.69,BC,0.771,0.663,0.683
