,Value
LogR_TP,12.0
LogR_FP,10.0
LogR_TN,134.0
LogR_FN,10.0
LogR_Accuracy,0.8795180722891566
LogR_Precision,0.5454545454545454
LogR_Recall,0.5454545454545454
LogR_F1_Score,0.5454545454545454
gNB_TP,17.0
gNB_FP,29.0
gNB_TN,115.0
gNB_FN,5.0
gNB_Accuracy,0.7951807228915663
gNB_Precision,0.3695652173913043
gNB_Recall,0.7727272727272727
gNB_F1_Score,0.4999999999999999
SVM_TP,13.0
SVM_FP,19.0
SVM_TN,125.0
SVM_FN,9.0
SVM_Accuracy,0.8313253012048193
SVM_Precision,0.40625
SVM_Recall,0.5909090909090909
SVM_F1_Score,0.4814814814814815
DT_TP,10.0
DT_FP,16.0
DT_TN,128.0
DT_FN,12.0
DT_Accuracy,0.8313253012048193
DT_Precision,0.38461538461538464
DT_Recall,0.45454545454545453
DT_F1_Score,0.41666666666666663
RF_TP,13.0
RF_FP,13.0
RF_TN,131.0
RF_FN,9.0
RF_Accuracy,0.8674698795180723
RF_Precision,0.5
RF_Recall,0.5909090909090909
RF_F1_Score,0.5416666666666667
KNN_TP,14.0
KNN_FP,47.0
KNN_TN,97.0
KNN_FN,8.0
KNN_Accuracy,0.6686746987951807
KNN_Precision,0.22950819672131148
KNN_Recall,0.6363636363636364
KNN_F1_Score,0.3373493975903614
LDA_TP,14.0
LDA_FP,12.0
LDA_TN,132.0
LDA_FN,8.0
LDA_Accuracy,0.8795180722891566
LDA_Precision,0.5384615384615384
LDA_Recall,0.6363636363636364
LDA_F1_Score,0.5833333333333334
mNB_TP,3.0
mNB_FP,4.0
mNB_TN,140.0
mNB_FN,19.0
mNB_Accuracy,0.8614457831325302
mNB_Precision,0.42857142857142855
mNB_Recall,0.13636363636363635
mNB_F1_Score,0.20689655172413793
ABC_TP,14.0
ABC_FP,11.0
ABC_TN,133.0
ABC_FN,8.0
ABC_Accuracy,0.8855421686746988
ABC_Precision,0.56
ABC_Recall,0.6363636363636364
ABC_F1_Score,0.5957446808510639
GBC_TP,13.0
GBC_FP,16.0
GBC_TN,128.0
GBC_FN,9.0
GBC_Accuracy,0.8493975903614458
GBC_Precision,0.4482758620689655
GBC_Recall,0.5909090909090909
GBC_F1_Score,0.5098039215686274
ETC_TP,13.0
ETC_FP,16.0
ETC_TN,128.0
ETC_FN,9.0
ETC_Accuracy,0.8493975903614458
ETC_Precision,0.4482758620689655
ETC_Recall,0.5909090909090909
ETC_F1_Score,0.5098039215686274
BC_TP,13.0
BC_FP,16.0
BC_TN,128.0
BC_FN,9.0
BC_Accuracy,0.8493975903614458
BC_Precision,0.4482758620689655
BC_Recall,0.5909090909090909
BC_F1_Score,0.5098039215686274
