,Value
LogR_TP,11
LogR_FP,4
LogR_TN,103
LogR_FN,48
LogR_Accuracy,0.686746988
LogR_Precision,0.733333333
LogR_Recall,0.186440678
LogR_F1_Score,0.297297297
gNB_TP,18
gNB_FP,12
gNB_TN,95
gNB_FN,41
gNB_Accuracy,0.680722892
gNB_Precision,0.6
gNB_Recall,0.305084746
gNB_F1_Score,0.404494382
SVM_TP,10
SVM_FP,7
SVM_TN,100
SVM_FN,49
SVM_Accuracy,0.662650602
SVM_Precision,0.588235294
SVM_Recall,0.169491525
SVM_F1_Score,0.263157895
DT_TP,9
DT_FP,5
DT_TN,102
DT_FN,50
DT_Accuracy,0.668674699
DT_Precision,0.642857143
DT_Recall,0.152542373
DT_F1_Score,0.246575342
RF_TP,10
RF_FP,5
RF_TN,102
RF_FN,49
RF_Accuracy,0.674698795
RF_Precision,0.666666667
RF_Recall,0.169491525
RF_F1_Score,0.27027027
KNN_TP,6
KNN_FP,5
KNN_TN,102
KNN_FN,53
KNN_Accuracy,0.65060241
KNN_Precision,0.545454545
KNN_Recall,0.101694915
KNN_F1_Score,0.171428571
LDA_TP,15
LDA_FP,8
LDA_TN,99
LDA_FN,44
LDA_Accuracy,0.686746988
LDA_Precision,0.652173913
LDA_Recall,0.254237288
LDA_F1_Score,0.365853659
mNB_TP,4
mNB_FP,2
mNB_TN,105
mNB_FN,55
mNB_Accuracy,0.656626506
mNB_Precision,0.666666667
mNB_Recall,0.06779661
mNB_F1_Score,0.123076923
ABC_TP,13
ABC_FP,4
ABC_TN,103
ABC_FN,46
ABC_Accuracy,0.698795181
ABC_Precision,0.764705882
ABC_Recall,0.220338983
ABC_F1_Score,0.342105263
GBC_TP,11
GBC_FP,6
GBC_TN,101
GBC_FN,48
GBC_Accuracy,0.674698795
GBC_Precision,0.647058824
GBC_Recall,0.186440678
GBC_F1_Score,0.289473684
ETC_TP,10
ETC_FP,5
ETC_TN,102
ETC_FN,49
ETC_Accuracy,0.674698795
ETC_Precision,0.666666667
ETC_Recall,0.169491525
ETC_F1_Score,0.27027027
BC_TP,10
BC_FP,5
BC_TN,102
BC_FN,49
BC_Accuracy,0.674698795
BC_Precision,0.666666667
BC_Recall,0.169491525
BC_F1_Score,0.27027027
