,Value
LogR_TP,115.0
LogR_FP,1.0
LogR_TN,32.0
LogR_FN,18.0
LogR_Accuracy,0.8855421686746988
LogR_Precision,0.9913793103448276
LogR_Recall,0.8646616541353384
LogR_F1_Score,0.9236947791164658
gNB_TP,123.0
gNB_FP,2.0
gNB_TN,31.0
gNB_FN,10.0
gNB_Accuracy,0.927710843373494
gNB_Precision,0.984
gNB_Recall,0.924812030075188
gNB_F1_Score,0.9534883720930233
SVM_TP,119.0
SVM_FP,2.0
SVM_TN,31.0
SVM_FN,14.0
SVM_Accuracy,0.9036144578313253
SVM_Precision,0.9834710743801653
SVM_Recall,0.8947368421052632
SVM_F1_Score,0.937007874015748
DT_TP,114.0
DT_FP,2.0
DT_TN,31.0
DT_FN,19.0
DT_Accuracy,0.8734939759036144
DT_Precision,0.9827586206896551
DT_Recall,0.8571428571428571
DT_F1_Score,0.9156626506024097
RF_TP,119.0
RF_FP,2.0
RF_TN,31.0
RF_FN,14.0
RF_Accuracy,0.9036144578313253
RF_Precision,0.9834710743801653
RF_Recall,0.8947368421052632
RF_F1_Score,0.937007874015748
KNN_TP,111.0
KNN_FP,1.0
KNN_TN,32.0
KNN_FN,22.0
KNN_Accuracy,0.8614457831325302
KNN_Precision,0.9910714285714286
KNN_Recall,0.8345864661654135
KNN_F1_Score,0.9061224489795919
LDA_TP,118.0
LDA_FP,1.0
LDA_TN,32.0
LDA_FN,15.0
LDA_Accuracy,0.9036144578313253
LDA_Precision,0.9915966386554622
LDA_Recall,0.8872180451127819
LDA_F1_Score,0.9365079365079365
mNB_TP,124.0
mNB_FP,6.0
mNB_TN,27.0
mNB_FN,9.0
mNB_Accuracy,0.9096385542168675
mNB_Precision,0.9538461538461539
mNB_Recall,0.9323308270676691
mNB_F1_Score,0.9429657794676807
ABC_TP,116.0
ABC_FP,1.0
ABC_TN,32.0
ABC_FN,17.0
ABC_Accuracy,0.891566265060241
ABC_Precision,0.9914529914529915
ABC_Recall,0.8721804511278195
ABC_F1_Score,0.9279999999999999
GBC_TP,119.0
GBC_FP,1.0
GBC_TN,32.0
GBC_FN,14.0
GBC_Accuracy,0.9096385542168675
GBC_Precision,0.9916666666666667
GBC_Recall,0.8947368421052632
GBC_F1_Score,0.9407114624505929
ETC_TP,121.0
ETC_FP,2.0
ETC_TN,31.0
ETC_FN,12.0
ETC_Accuracy,0.9156626506024096
ETC_Precision,0.983739837398374
ETC_Recall,0.9097744360902256
ETC_F1_Score,0.9453125000000001
BC_TP,114.0
BC_FP,2.0
BC_TN,31.0
BC_FN,19.0
BC_Accuracy,0.8734939759036144
BC_Precision,0.9827586206896551
BC_Recall,0.8571428571428571
BC_F1_Score,0.9156626506024097
