,Value
LogR_TP,136
LogR_FP,3
LogR_TN,15
LogR_FN,12
LogR_Accuracy,0.909638554
LogR_Precision,0.978417266
LogR_Recall,0.918918919
LogR_F1_Score,0.947735192
gNB_TP,139
gNB_FP,5
gNB_TN,13
gNB_FN,9
gNB_Accuracy,0.915662651
gNB_Precision,0.965277778
gNB_Recall,0.939189189
gNB_F1_Score,0.952054795
SVM_TP,138
SVM_FP,4
SVM_TN,14
SVM_FN,10
SVM_Accuracy,0.915662651
SVM_Precision,0.971830986
SVM_Recall,0.932432432
SVM_F1_Score,0.951724138
DT_TP,137
DT_FP,4
DT_TN,14
DT_FN,11
DT_Accuracy,0.909638554
DT_Precision,0.971631206
DT_Recall,0.925675676
DT_F1_Score,0.948096886
RF_TP,137
RF_FP,4
RF_TN,14
RF_FN,11
RF_Accuracy,0.909638554
RF_Precision,0.971631206
RF_Recall,0.925675676
RF_F1_Score,0.948096886
KNN_TP,136
KNN_FP,2
KNN_TN,16
KNN_FN,12
KNN_Accuracy,0.915662651
KNN_Precision,0.985507246
KNN_Recall,0.918918919
KNN_F1_Score,0.951048951
LDA_TP,117
LDA_FP,0
LDA_TN,18
LDA_FN,31
LDA_Accuracy,0.813253012
LDA_Precision,1
LDA_Recall,0.790540541
LDA_F1_Score,0.883018868
mNB_TP,137
mNB_FP,5
mNB_TN,13
mNB_FN,11
mNB_Accuracy,0.903614458
mNB_Precision,0.964788732
mNB_Recall,0.925675676
mNB_F1_Score,0.944827586
ABC_TP,132
ABC_FP,3
ABC_TN,15
ABC_FN,16
ABC_Accuracy,0.885542169
ABC_Precision,0.977777778
ABC_Recall,0.891891892
ABC_F1_Score,0.932862191
GBC_TP,139
GBC_FP,5
GBC_TN,13
GBC_FN,9
GBC_Accuracy,0.915662651
GBC_Precision,0.965277778
GBC_Recall,0.939189189
GBC_F1_Score,0.952054795
ETC_TP,138
ETC_FP,3
ETC_TN,15
ETC_FN,10
ETC_Accuracy,0.921686747
ETC_Precision,0.978723404
ETC_Recall,0.932432432
ETC_F1_Score,0.955017301
BC_TP,137
BC_FP,4
BC_TN,14
BC_FN,11
BC_Accuracy,0.909638554
BC_Precision,0.971631206
BC_Recall,0.925675676
BC_F1_Score,0.948096886
