Isolate,NC_000962.3_761155,NC_000962.3_2155168,NC_000962.3_4247429,NC_000962.3_4247431,NC_000962.3_761110,NC_000962.3_761139,NC_000962.3_1473246,NC_000962.3_2302033,NC_000962.3_836272,NC_000962.3_2634282,NC_000962.3_2630740,NC_000962.3_3847087,NC_000962.3_4254290,NC_000962.3_580772,NC_000962.3_3934542,phenotype
SAMN19845079,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845080,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,
SAMN19845081,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,
SAMN19845082,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,
SAMN19845083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845086,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845088,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,
SAMN19845089,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845090,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,
SAMN19845091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845092,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845093,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
SAMN19845094,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845095,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,
SAMN19845096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845097,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845098,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845099,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845100,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,
SAMN19845101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845102,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,
SAMN19845103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845104,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,
SAMN19845105,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,
SAMN19845106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845107,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845109,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845110,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
SAMN19845111,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845112,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845113,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,
SAMN19845114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845116,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,
SAMN19845117,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,
SAMN19845118,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845119,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845120,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845122,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,
SAMN19845123,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
SAMN19845124,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845125,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,
SAMN19845126,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
SAMN19845127,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,
SAMN19845128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845130,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,
SAMN19845131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845132,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845133,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
SAMN19845134,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845135,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845136,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,
