Isolate,NC_000962.3_2155168,NC_000962.3_761155,NC_000962.3_1673425,NC_000962.3_4247429,NC_000962.3_761110,NC_000962.3_836272,NC_000962.3_3847087,NC_000962.3_580772,NC_000962.3_761139,NC_000962.3_761161,NC_000962.3_340132,NC_000962.3_761109,NC_000962.3_3730466,NC_000962.3_968965,NC_000962.3_3847073,phenotype
SAMN19845079,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845080,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845081,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845082,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845083,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845084,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845085,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845086,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845087,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,
SAMN19845088,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845089,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
SAMN19845090,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845091,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845092,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845093,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845094,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845095,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,
SAMN19845096,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845097,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845098,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845099,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845100,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
SAMN19845102,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,
SAMN19845103,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845104,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
SAMN19845105,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845106,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845107,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845108,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845109,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845110,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,
SAMN19845111,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845112,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845113,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
SAMN19845114,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845115,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845116,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,
SAMN19845117,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,
